office,district,effective_date,summary
State Senate,Worcester and Middlesex,2023-01-04,"The Massachusetts Worcester and Middlesex State Senate District is currently represented by incumbent John J. Cronin (D-Fitchburg), who was reelected in 2024 with 59% of the vote. The district encompasses ten municipalities in north-central Massachusetts including Fitchburg, Leominster, Clinton, and portions of Middlesex County."
U.S. House,Eighth,2023-01-04,"This district, which includes parts of Boston and several towns south of the city, has been represented by incumbent Democratic Representative Stephen F. Lynch of Boston since 2013. It covers portions of Boston and surrounding communities including Quincy, Brockton, and other municipalities in eastern Massachusetts."
U.S. House,Fifth,2023-01-04,"This Massachusetts Fifth U.S. House District is currently represented by incumbent Democratic Representative Katherine M. Clark from Revere. The district covers eastern Massachusetts communities including parts of Cambridge, Arlington, Framingham, Lexington, Malden, Medford, and several other municipalities in the greater Boston area."
U.S. House,First,2023-01-04,"The First U.S. House District in Massachusetts is represented by incumbent Richard E. Neal (D-Springfield), who has held the seat since 2012. The district covers much of western Massachusetts, including Springfield, Pittsfield, Holyoke, and numerous towns across Berkshire, Hampden, Hampshire, Franklin, and Worcester counties, spanning 2,293 square miles."
U.S. House,Fourth,2023-01-04,"The Massachusetts Fourth U.S. House District is currently represented by Democratic incumbent Jake Auchincloss of Newton, who has held the seat since 2021. The district covers 710 square miles in eastern Massachusetts, including portions of Norfolk, Bristol, and Middlesex counties, with a population of approximately 778,000 residents."
U.S. House,Ninth,2023-01-04,"The Massachusetts Ninth U.S. House District is currently represented by Democratic incumbent Bill Keating of Bourne, who won re-election in 2024 with 57% of the vote. The district covers southeastern Massachusetts, including Cape Cod, the Islands (Martha's Vineyard and Nantucket), and portions of the South Shore and South Coast, encompassing numerous towns from New Bedford to Provincetown."
U.S. House,Second,2023-01-04,"This district is currently represented by Democratic incumbent James P. McGovern from Worcester, who has been consistently winning elections with 65-69% of the vote in recent years. The district covers a large portion of central Massachusetts including Worcester, Northampton, and numerous towns in western and central Massachusetts, encompassing both urban and rural areas."
U.S. House,Seventh,2023-01-04,"The Massachusetts Seventh U.S. House District is currently represented by Democratic incumbent Ayanna S. Pressley of Boston, who has held the seat since 2018. The district is a densely populated urban area covering parts of Boston, Cambridge, Chelsea, Everett, Milton, Randolph, and Somerville, with a diverse population that is 61% minority."
U.S. House,Sixth,2023-01-04,"The Massachusetts Sixth U.S. House District is located in northeastern Massachusetts and is currently represented by incumbent Democrat Seth W. Moulton of Salem. The district covers a population of 771,092 across 553 square miles in Essex County and parts of Middlesex County, including communities like Beverly, Gloucester, Lynn, Peabody, Salem, and portions of several other municipalities."
U.S. House,Third,2023-01-04,"The Massachusetts Third U.S. House District is represented by incumbent Lori Loureiro Trahan, a Democrat from Westford. The district covers portions of northeastern Massachusetts including parts of Middlesex, Worcester, and Essex counties, encompassing communities such as Acton, Lowell, Fitchburg, and portions of Billerica and Groton."
